"brand_name","model_name","bkl_type"
"ACER","XV280Kbmiiprx","LED"
"ACER","Nitro XV280K","LED"
"ACER","UM.PX0EE.001","LED"
"ACER","CB282Ksmiiprx","LED"
"ACER","CB282K","LED"
"ACER","UM.PB2EE.001","LED"
"ACER","XF250QEbmiiprx","LED"
"ACER","XF250QE","LED"
"ACER","UM.KX0EE.E01","LED"
"ACER","VG270Sbmiipx","LED"
"ACER","Nitro VG270S","LED"
"ACER","UM.HV0EE.S01","LED"
"ACER","AL1952","CCFL"
"ACER","ET.L4108.082","CCFL"
"ACER","KB242HYLbix","LED"
"ACER","KB242HYL","LED"
"ACER","UM.QK0EE.002","LED"
"ACER","KA272Ubiipx","LED"
"ACER","KA272U","LED"
"ACER","UM.HX2EE.013","LED"
"ACER","UM.WB7EE.008","LED"
"ACER","UM.WB7EE.013","LED"
"ACER","B227Q","LED"
"ACER","B227Qbmiprczx","LED"
"ACER","UM.QE3EE.A01","LED"
"ACER","EB243YA","LED"
"ACER","EB243YAbix","LED"
"ACER","UM.WB7EE.007","LED"
"ACER","UM.WB7EE.006","LED"
"ACER","UM.WB7EE.004","LED"
"ACER","B227Q","LED"
"ACER","B227Qbmiprzx","LED"
"ACER","KG272bmiix","LED"
"ACER","Nitro KG272","LED"
"ACER","UM.HX2EE.018","LED"
"ACER","UM.FX1EE.P01","LED"
"ACER","KG1 KG241P","LED"
"ACER","UM.PB7EE.001","LED"
"ACER","B287K","LED"
"ACER","KG241Pbmidpx","LED"
"ACER","UM.HV0EE.P01","LED"
"ACER","B287Kbmiipprzx","LED"
"ACER","UM.HC1EE.001","LED"
"ACER","ConceptD CM3","LED"
"ACER","CM3271K","LED"
"ACER","UM.HV0EE.P06","LED"
"ACER","Nitro VG0 VG270UP","LED"
"ACER","VG270UPbmiipx","LED"
"ACER","UM.QV0EE.007","LED"
"ACER","Nitro VG240YU","LED"
"ACER","VG240YUbmiipx ","LED"
"ACER","UM.QE0EE.B01","LED"
"ACER","EK240YB","LED"
"ACER","EK240YBbmiix","LED"
"ACER","UM.HR1EE.015","LED"
"ACER","UM.HV1EE.P04","LED"
"ACER","VG271P","LED"
"ACER","VG271Pbmiipx","LED"
"ACER","RC271Usmipuzx","LED"
"ACER","UM.QR0EE.009","LED"
"ACER","UM.KX2EE.X01","LED"
"ACER","KA222QA","LED"
"ACER","KA222QAbmiix","LED"
"ACER","Nitro XF252QX","LED"
"ACER","RG240Y","LED"
"ACER","RG240Ybmiix","LED"
"ACER","UM.HE0EE.P05","LED"
"ACER","EG270P","LED"
"ACER","EG270Pbipx","LED"
"ACER","XF252QXbmiiprzx","LED"
"ACER","XB273Xbmiprzx","LED"
"ACER","XB273X","LED"
"ACER","UM.HX3EE.X04","LED"
"ACER","UM.HQ1EE.001","LED"
"ACER","QG27bii","LED"
"ACER","QG271bii","LED"
"ACER","V226HQLBbi","LED"
"ACER","UM.WV6EE.B17","LED"
"ACER","UM.QE0EE.P07","LED"
"ACER","UM.QE0EE.P01","LED"
"ACER","EG240YP","LED"
"ACER","B246HYLBymiprx","LED"
"ACER","B246HYLB","LED"
"ACER","UM.QB6EE.B07","LED"
"ACER","EI431CRSbmiiipx","LED"
"ACER","Nitro EI431CRS","LED"
"ACER","UM.ME1EE.S01","LED"
"ACER","KA222Qbi","LED"
"ACER","KA222Q","LED"
"ACER","UM.WX2EE.001","LED"
"ACER","V226HQLbmid","LED"
"ACER","V226HQL","LED"
"ACER","UM.WV6EE.014","LED"
"ACER","VG272Pbmiipx","LED"
"ACER","Nitro VG272P","LED"
"ACER","UM.HV2EE.P04","LED"
"ACER","VG272USbmiipx","LED"
"ACER","VG272UVbmiipx","LED"
"ACER","UM.HV2EE.S01","LED"
"ACER","VW237Qbi","LED"
"ACER","VW237Q","LED"
